,id,label,comments
523,217391285,Information / Interface,4
524,217319613,Bug,2
525,217319613,Easy-fix,2
526,217069049,Bug,9
527,217069049,Confirmation Needed,9
528,217069049,JSON,9
529,217069049,Windows,9
530,217006546,Bug,2
531,217006546,Confirmed,2
532,216994859,Bug,5
533,216994859,Confirmed,5
534,216994859,OSX,5
535,216994859,Translation,5
536,216992325,Bug,0
537,216820461,Bug,0
538,216820461,Confirmation Needed,0
539,216820461,Information / Interface,0
540,216639067,Bug,10
541,216639067,Information / Interface,10
542,216607388,Bug,1
543,216607388,Confirmation Needed,1
544,216449129,Bionics,8
545,216449129,Bug,8
546,216449129,Confirmed,8
547,216210964,Bug,5
548,216210964,Vehicle,5
549,216155310,Bug,4
550,216155310,Mapgen,4
551,216132297,Bug,6
552,216132297,Information / Interface,6
553,216028250,Bug,0
554,216028250,NPC,0
555,215976477,Bug,0
556,215976477,NPC,0
557,215200755,Bug,0
558,215200755,Translation,0
559,215197859,Bug,1
560,215197859,Information / Interface,1
561,215196743,Bug,1
562,215196743,Translation,1
563,215167534,Bug,8
564,215167534,Confirmation Needed,8
565,215167534,Vehicle,8
566,213336578,Bug,6
567,213336578,Crafting / Construction,6
568,213336578,Vehicle,6
569,213130989,Battery,4
570,213130989,Bug,4
571,213130989,Vehicle,4
572,212851187,Bug,3
573,212851187,Information / Interface,3
574,212157107,Bug,4
575,212157107,Confirmed,4
576,212157107,Information / Interface,4
577,211920152,Bug,3
578,211920152,Mapgen,3
579,211915453,Bug,18
580,211915453,Information / Interface,18
581,211857969,Bug,4
582,211857969,NPC,4
583,211857969,Spawn,4
584,211679235,Bug,5
585,211679235,Confirmed,5
586,211679235,Mapgen,5
587,211207455,Bug,3
588,211207455,Information / Interface,3
589,211183788,Battery,3
590,211183788,Bug,3
591,211002443,Bug,3
592,211002443,Confirmed,3
593,211002443,Mapgen,3
594,210550050,Bug,4
595,210550050,Crafting / Construction,4
596,210324464,Bug,3
597,210324464,Confirmed,3
598,210324464,Mapgen,3
599,210308601,Bug,0
600,210190804,Bug,14
601,210190804,Information / Interface,14
602,210179949,Bug,4
603,210179949,Vehicle,4
604,209992764,Bug,7
605,209992764,Long-term,7
606,209992764,Tiles,7
607,209979519,Bug,0
608,209676243,Bug,8
609,209676243,Easy-fix,8
